Material Category,Material Type,Jurisdiction,Single Family Tons,Regional Single Family Composition,Multi Family Tons,Statewide Multi Family Composition,Total Residential Tons,Total Residential Composition
Plastic,PETE Plastic Containers,Alameda (Countywide),1653,0.00576823980074174,1098,0.00925575177699064,2751,0.006788973516335656
Plastic,HDPE Plastic Containers,Alameda (Countywide),1204,0.00420201030494347,553,0.00466298875785393,1757,0.004336930629877846
Plastic,Miscellaneous Plastic Containers,Alameda (Countywide),2182,0.0076138507741689,757,0.00638361235962469,2939,0.007253781522365289
Plastic,Plastic Trash Bags,Alameda (Countywide),4353,0.0151910150916795,1336,0.0112707745793956,5690,0.014043629307379114
Plastic,Plastic Grocery and Other Merchandise Bags,Alameda (Countywide),1752,0.00611535012143217,1041,0.0087813977992591,2794,0.006895655614480489
Plastic,Non-Bag Commercial and Industrial Packaging Film,Alameda (Countywide),727,0.00253757398670596,200,0.00168720787646775,927,0.0022886867096930242
Plastic,Film Products,Alameda (Countywide),171,0.0005954494119161,2,1.60033976566839e-05,173,0.0004258557052423638
Plastic,Other Film - Other,Alameda (Countywide),7147,0.0249388888293126,2548,0.0214910767881785,9695,0.02392977458988237
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,Alameda (Countywide),1120,0.00390851865167677,199,0.00167869818165958,1319,0.0032558892273282145
Plastic,Durable Plastic Items - Other,Alameda (Countywide),2171,0.00757434228238299,1335,0.0112605235062998,3506,0.008653223009579266
Plastic,Remainder / Composite Plastic,Alameda (Countywide),5351,0.018673406439094,3991,0.0336593115318444,9342,0.02305951857033137
Other Organic,Food,Alameda (Countywide),79627,0.277866044765379,29374,0.247713326035693,109001,0.26904087173835634
Other Organic,Leaves and Grass,Alameda (Countywide),4293,0.0149793624571121,3543,0.0298758256509316,7835,0.019339296509980914
Other Organic,Prunings and Trimmings,Alameda (Countywide),2929,0.0102208468250129,921,0.00776987682463602,3850,0.00950349080377716
Other Organic,Branches and Stumps,Alameda (Countywide),637,0.00222376368052079,0,0.0,637,0.001572906972449435
Other Organic,Manures,Alameda (Countywide),534,0.00186310759121805,0,0.0,534,0.0013178086081359333
Other Organic,Textiles,Alameda (Countywide),13866,0.0483866142972201,8834,0.0744969455238916,22700,0.05602865125362198
Other Organic,Carpet,Alameda (Countywide),7841,0.0273624525968649,743,0.00626191036404208,8584,0.021186693195596424
Other Organic,Remainder / Composite Organic,Alameda (Countywide),26805,0.0935391763382514,8865,0.0747577651799157,35670,0.08804218601210928
Inerts and Other,Concrete,Alameda (Countywide),1934,0.00674748599000661,451,0.00380054474914847,2384,0.005884967867372531
Inerts and Other,Asphalt Paving,Alameda (Countywide),0,0.0,0,0.0,0,0.0
Inerts and Other,Asphalt Roofing,Alameda (Countywide),280,0.000976424154137301,0,0.0,280,0.0006906418939942949
Inerts and Other,Clean Dimensional Lumber,Alameda (Countywide),299,0.00104415299719885,618,0.00520836277968044,917,0.0022629443168366314
Inerts and Other,Clean Engineered Wood,Alameda (Countywide),11,3.95084917859024e-05,156,0.00131834677248041,168,0.00041380207379706775
Inerts and Other,Clean Pallets & Crates,Alameda (Countywide),370,0.00129249208842452,2361,0.0199110136755632,2731,0.006741807488036857
Inerts and Other,Other Wood Waste,Alameda (Countywide),10292,0.0359160410685128,2503,0.0211054469970467,12795,0.03158123940484051
Inerts and Other,Gypsum Board,Alameda (Countywide),603,0.00210523820516308,492,0.00414580933333641,1095,0.002702477659472951
Inerts and Other,"Rock, Soil and Fines",Alameda (Countywide),2748,0.00958927536346402,349,0.00294628003745275,3097,0.007644986899948632
Inerts and Other,Remainder / Composite Inerts and Other,Alameda (Countywide),2467,0.00861002917419915,298,0.00251265780565917,2765,0.0068254352933030185
Household Hazardous Waste (HHW),Paint,Alameda (Countywide),0,0.0,0,4.0077500773254e-06,0,1.172998302360008e-06
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,Alameda (Countywide),0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Used Oil,Alameda (Countywide),0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Batteries,Alameda (Countywide),370,0.00129249208842452,43,0.000361101619624407,413,0.001019890399781818
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,Alameda (Countywide),476,0.00166217869013546,54,0.000455389934663065,530,0.0013089727431166904
Special Waste,Ash,Alameda (Countywide),50,0.000176094991960022,110,0.000931303337992967,161,0.0003971312568799987
Special Waste,Treated Medical Waste,Alameda (Countywide),0,0.0,876,0.0073855680185596,876,0.0021616264938147706
Special Waste,Bulky Items,Alameda (Countywide),13431,0.0468683593985904,3337,0.0281400658522521,16768,0.04138691566779386
Special Waste,Tires,Alameda (Countywide),81,0.000282203512756445,0,0.0,81,0.00019960748381337977
Special Waste,Remainder / Composite Special Waste,Alameda (Countywide),928,0.00323687429131643,24,0.00020231600461172,952,0.002348712192872259
Mixed Residue,Mixed Residue,Alameda (Countywide),22272,0.077718847413125,4087,0.0344700708823858,26359,0.06506068748026814
Paper,Uncoated Corrugated Cardboard,Alpine (Countywide),3,0.0205731672386676,5,0.0356791218393351,8,0.027645959817419585
Paper,Paper Bags,Alpine (Countywide),1,0.0037190066107415,1,0.00527466562364938,1,0.004447385174852722
Paper,Newspaper,Alpine (Countywide),1,0.00709212559665615,6,0.0464310841690457,7,0.02551110682637163
Paper,White Ledger Paper,Alpine (Countywide),0,0.00217251731296198,1,0.0052869012166633,1,0.0036307099226835795
Paper,Other Office Paper,Alpine (Countywide),1,0.00397913697321458,1,0.005887949186271,1,0.00487286618210152
Paper,Magazines and Catalogs,Alpine (Countywide),2,0.0103880630464524,1,0.00747804221265661,3,0.009025555723917805
Paper,Phone Books and Directories,Alpine (Countywide),0,0.00208390147519643,0,0.000306365386920027,0,0.0012516373524729533
Paper,Other Miscellaneous Paper - Compostable,Alpine (Countywide),0,0.00240977907214072,0,0.00295972626349685,1,0.0026672710689429114
Paper,Other Miscellaneous Paper - Other,Alpine (Countywide),7,0.0430472871261769,6,0.0471909615637325,13,0.04498740614450179
Paper,Remainder / Composite Paper - Compostable,Alpine (Countywide),14,0.0907854965031047,9,0.0676951863054057,23,0.07997433104387904
Paper,Remainder / Composite Paper - Other,Alpine (Countywide),1,0.00937326877526624,1,0.0109194056132361,3,0.010097188940685314
Glass,Clear Glass Bottles and Containers,Alpine (Countywide),2,0.0147765480186356,2,0.0164193762236836,5,0.015545740263944905
Glass,Green Glass Bottles and Containers,Alpine (Countywide),2,0.0109054651959868,0,0.00148785037811019,2,0.006496022830094924
Glass,Brown Glass Bottles and Containers,Alpine (Countywide),1,0.0064632390060619,1,0.00682128720880721,2,0.006630881550883303
Glass,Other Glass Colored Bottles and Containers,Alpine (Countywide),0,0.00105481432695128,0,0.000619255891282891,0,0.0008508805436952326
Glass,Flat Glass,Alpine (Countywide),0,0.000368756228121178,0,0.000579854656700671,0,0.00046759509256323514
Glass,Remainder / Composite Glass,Alpine (Countywide),1,0.00602587696805771,1,0.00398097723909204,1,0.005068429920872668
Metal,Tin/Steel Cans,Alpine (Countywide),2,0.0125434289069437,1,0.00929533537355549,3,0.011022631814317365
Metal,Major Appliances,Alpine (Countywide),0,0.0,0,1.0932797618282e-05,0,5.118869472583053e-06
Metal,Used Oil Filters,Alpine (Countywide),0,0.000611735138123505,0,0.0,0,0.00032531326943269293
Metal,Other Ferrous,Alpine (Countywide),2,0.0104046427838408,1,0.00756548567504157,3,0.009075314723491745
Metal,Aluminum Cans,Alpine (Countywide),1,0.0032502002432076,0,0.00227739446282066,1,0.00279472068657079
Metal,Other Non-Ferrous,Alpine (Countywide),2,0.010888313743516,1,0.00768714263469483,3,0.009389486303588088
Metal,Remainder / Composite Metal,Alpine (Countywide),2,0.0121861069804696,1,0.00852379656968097,3,0.01047136848301857
Electronics,Brown Goods,Alpine (Countywide),0,0.0,1,0.00453436039488614,1,0.002123042958762799
Electronics,Computer-related Electronics,Alpine (Countywide),0,0.00262417222802513,0,0.00201706805339667,1,0.0023399186330453196
Electronics,Other Small Consumer Electronics,Alpine (Countywide),1,0.00509398138381349,0,0.00261664724282099,1,0.003934063259425212
Electronics,Video Display Devices,Alpine (Countywide),1,0.00634603741417842,1,0.00653254413252071,2,0.006433362139311675
Plastic,PETE Plastic Containers,Alpine (Countywide),2,0.0112199084912839,1,0.00925575177699064,3,0.010300266310461678
Plastic,HDPE Plastic Containers,Alpine (Countywide),1,0.00637176459288454,1,0.00466298875785393,2,0.005571694861162903
Plastic,Miscellaneous Plastic Containers,Alpine (Countywide),1,0.00611449280582326,1,0.00638361235962469,2,0.006240497870265838
Plastic,Plastic Trash Bags,Alpine (Countywide),3,0.0173063872580716,2,0.0112707745793956,4,0.01448043963076476
Plastic,Plastic Grocery and Other Merchandise Bags,Alpine (Countywide),1,0.00701780263594956,1,0.0087813977992591,2,0.007843539447208572
Plastic,Non-Bag Commercial and Industrial Packaging Film,Alpine (Countywide),0,0.00200957851448983,0,0.00168720787646775,1,0.0018586406415460454
Plastic,Film Products,Alpine (Countywide),0,5.71715082358416e-06,0,1.60033976566839e-05,0,1.0533297315984199e-05
Plastic,Other Film - Other,Alpine (Countywide),4,0.0273994453220271,3,0.0214910767881785,7,0.024633074958588446
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,Alpine (Countywide),1,0.0092760772112653,0,0.00167869818165958,2,0.005718891489537591
Plastic,Durable Plastic Items - Other,Alpine (Countywide),2,0.0100621854495081,2,0.0112605235062998,3,0.01062326197455855
Plastic,Remainder / Composite Plastic,Alpine (Countywide),3,0.0183349026912344,5,0.0336593115318444,7,0.025509978215216073
Other Organic,Food,Alpine (Countywide),39,0.249822339538157,34,0.247713326035693,72,0.2488348736385801
Other Organic,Leaves and Grass,Alpine (Countywide),3,0.0206846516797275,4,0.0298758256509316,7,0.024988071673501224
Other Organic,Prunings and Trimmings,Alpine (Countywide),2,0.00987637804774164,1,0.00776987682463602,3,0.008890088428067083
Other Organic,Branches and Stumps,Alpine (Countywide),1,0.0065347033913567,0,0.0,1,0.00347507539216419
Other Organic,Manures,Alpine (Countywide),1,0.0048367095967522,0,0.0,1,0.0025721030461687694
Other Organic,Textiles,Alpine (Countywide),5,0.0343263452598817,10,0.0744969455238916,15,0.053134711294474925
Other Organic,Carpet,Alpine (Countywide),1,0.00844994891725739,1,0.00626191036404208,2,0.0074254825230236415
Other Organic,Remainder / Composite Organic,Alpine (Countywide),11,0.0730366017712877,10,0.0747577651799157,22,0.07384247151637652
Inerts and Other,Concrete,Alpine (Countywide),0,0.00158365077813281,1,0.00380054474914847,1,0.002621627631670205
Inerts and Other,Asphalt Paving,Alpine (Countywide),0,0.0,0,0.0,0,0.0
Inerts and Other,Asphalt Roofing,Alpine (Countywide),3,0.0212249224325562,0,0.0,3,0.011287154324942738
Inerts and Other,Clean Dimensional Lumber,Alpine (Countywide),0,0.001732296699546,1,0.00520836277968044,1,0.0033598333249864084
Inerts and Other,Clean Engineered Wood,Alpine (Countywide),1,0.00774102221513296,0,0.00131834677248041,1,0.004733847070801572
Inerts and Other,Clean Pallets & Crates,Alpine (Countywide),1,0.0077238707626622,3,0.0199110136755632,4,0.013430040033603027
Inerts and Other,Other Wood Waste,Alpine (Countywide),2,0.0145787346001396,3,0.0211054469970467,5,0.01763462111805971
Inerts and Other,Gypsum Board,Alpine (Countywide),0,0.000463089216710317,1,0.00414580933333641,1,0.0021873837878950294
Inerts and Other,"Rock, Soil and Fines",Alpine (Countywide),3,0.0164854043998049,0,0.00294628003745275,3,0.010146220889441821
Inerts and Other,Remainder / Composite Inerts and Other,Alpine (Countywide),0,0.00322447306450147,0,0.00251265780565917,1,0.002891192460046337
Household Hazardous Waste (HHW),Paint,Alpine (Countywide),0,0.000463089216710317,0,4.0077500773254e-06,0,0.0002481416628429878
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,Alpine (Countywide),0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Used Oil,Alpine (Countywide),0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Batteries,Alpine (Countywide),1,0.00355606781226935,0,0.000361101619624407,1,0.002060145589935638
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,Alpine (Countywide),0,0.00219824449166811,0,0.000455389934663065,0,0.0013822186857859256
Special Waste,Ash,Alpine (Countywide),0,0.000897592679302713,0,0.000931303337992967,0,0.0009133764217349014
Special Waste,Treated Medical Waste,Alpine (Countywide),0,0.0,1,0.0073855680185596,1,0.0034580132174651308
Special Waste,Bulky Items,Alpine (Countywide),2,0.0135782332060124,4,0.0281400658522521,6,0.020396261235091844
Special Waste,Tires,Alpine (Countywide),1,0.00412778289462777,0,0.0,1,0.002195104490938362
Special Waste,Remainder / Composite Special Waste,Alpine (Countywide),0,0.000142928770589604,0,0.00020231600461172,0,0.0001707345994278337
Mixed Residue,Mixed Residue,Alpine (Countywide),12,0.0784255881375981,5,0.0344700708823858,17,0.05784507770602738
Paper,Uncoated Corrugated Cardboard,Amador (Countywide),155,0.0205731672386676,45,0.0356791218393351,200,0.02274774945602086
Paper,Paper Bags,Amador (Countywide),28,0.0037190066107415,7,0.00527466562364938,35,0.003942951969718372
Paper,Newspaper,Amador (Countywide),53,0.00709212559665615,59,0.0464310841690457,112,0.0127551771562666
Paper,White Ledger Paper,Amador (Countywide),16,0.00217251731296198,7,0.0052869012166633,23,0.0026208493802846802
Paper,Other Office Paper,Amador (Countywide),30,0.00397913697321458,7,0.005887949186271,37,0.00425392060685504
Paper,Magazines and Catalogs,Amador (Countywide),78,0.0103880630464524,9,0.00747804221265661,88,0.009969150126045493
Paper,Phone Books and Directories,Amador (Countywide),16,0.00208390147519643,0,0.000306365386920027,16,0.0018280157354035461
Paper,Other Miscellaneous Paper - Compostable,Amador (Countywide),18,0.00240977907214072,4,0.00295972626349685,22,0.002488946884729908
Paper,Other Miscellaneous Paper - Other,Amador (Countywide),324,0.0430472871261769,60,0.0471909615637325,384,0.04364379102047642
Paper,Remainder / Composite Paper - Compostable,Amador (Countywide),684,0.0907854965031047,86,0.0676951863054057,770,0.08746152398521646
Paper,Remainder / Composite Paper - Other,Amador (Countywide),71,0.00937326877526624,14,0.0109194056132361,84,0.009595843366698916
Glass,Clear Glass Bottles and Containers,Amador (Countywide),111,0.0147765480186356,21,0.0164193762236836,132,0.015013041844765991
Glass,Green Glass Bottles and Containers,Amador (Countywide),82,0.0109054651959868,2,0.00148785037811019,84,0.009549749635188544
Glass,Brown Glass Bottles and Containers,Amador (Countywide),49,0.0064632390060619,9,0.00682128720880721,57,0.0065147819422899005
Glass,Other Glass Colored Bottles and Containers,Amador (Countywide),8,0.00105481432695128,1,0.000619255891282891,9,0.0009921133819358076
Glass,Flat Glass,Amador (Countywide),3,0.000368756228121178,1,0.000579854656700671,4,0.00039914496561148523
Glass,Remainder / Composite Glass,Amador (Countywide),45,0.00602587696805771,5,0.00398097723909204,50,0.005731502815319113
Metal,Tin/Steel Cans,Amador (Countywide),94,0.0125434289069437,12,0.00929533537355549,106,0.012075848629845957
Metal,Major Appliances,Amador (Countywide),0,0.0,0,1.0932797618282e-05,0,1.5738341544855113e-06
Metal,Used Oil Filters,Amador (Countywide),5,0.000611735138123505,0,0.0,5,0.000523672623157736
Metal,Other Ferrous,Amador (Countywide),78,0.0104046427838408,10,0.00756548567504157,88,0.009995931072182801
Metal,Aluminum Cans,Amador (Countywide),24,0.0032502002432076,3,0.00227739446282066,27,0.0031101596958280652
Metal,Other Non-Ferrous,Amador (Countywide),82,0.010888313743516,10,0.00768714263469483,92,0.010427488198095662
Metal,Remainder / Composite Metal,Amador (Countywide),92,0.0121861069804696,11,0.00852379656968097,103,0.011658897988766641
Electronics,Brown Goods,Amador (Countywide),0,0.0,6,0.00453436039488614,6,0.0006527452082607594
Electronics,Computer-related Electronics,Amador (Countywide),20,0.00262417222802513,3,0.00201706805339667,22,0.0025367763647958295
Electronics,Other Small Consumer Electronics,Amador (Countywide),38,0.00509398138381349,3,0.00261664724282099,42,0.004737356005818092
Electronics,Video Display Devices,Amador (Countywide),48,0.00634603741417842,8,0.00653254413252071,56,0.006372886044658626
Plastic,PETE Plastic Containers,Amador (Countywide),85,0.0112199084912839,12,0.00925575177699064,96,0.010937157723397418
Plastic,HDPE Plastic Containers,Amador (Countywide),48,0.00637176459288454,6,0.00466298875785393,54,0.006125777255934892
Plastic,Miscellaneous Plastic Containers,Amador (Countywide),46,0.00611449280582326,8,0.00638361235962469,54,0.006153233991766769
Plastic,Plastic Trash Bags,Amador (Countywide),130,0.0173063872580716,14,0.0112707745793956,145,0.01643752882781386
Plastic,Plastic Grocery and Other Merchandise Bags,Amador (Countywide),53,0.00701780263594956,11,0.0087813977992591,64,0.0072716815057148445
Plastic,Non-Bag Commercial and Industrial Packaging Film,Amador (Countywide),15,0.00200957851448983,2,0.00168720787646775,17,0.0019631715527736434
Plastic,Film Products,Amador (Countywide),0,5.71715082358416e-06,0,1.60033976566839e-05,0,7.1979105662075465e-06
Plastic,Other Film - Other,Amador (Countywide),206,0.0273994453220271,27,0.0214910767881785,234,0.026548904360735665
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,Amador (Countywide),70,0.0092760772112653,2,0.00167869818165958,72,0.008182394238357182
Plastic,Durable Plastic Items - Other,Amador (Countywide),76,0.0100621854495081,14,0.0112605235062998,90,0.010234692563263216
Plastic,Remainder / Composite Plastic,Amador (Countywide),138,0.0183349026912344,43,0.0336593115318444,181,0.020540932554105103
Other Organic,Food,Amador (Countywide),1882,0.249822339538157,314,0.247713326035693,2196,0.24951873586795847
Other Organic,Leaves and Grass,Amador (Countywide),156,0.0206846516797275,38,0.0298758256509316,194,0.022007769880645265
Other Organic,Prunings and Trimmings,Amador (Countywide),74,0.00987637804774164,10,0.00776987682463602,84,0.009573136033470268
Other Organic,Branches and Stumps,Amador (Countywide),49,0.0065347033913567,0,0.0,49,0.0055939982081242325
Other Organic,Manures,Amador (Countywide),36,0.0048367095967522,0,0.0,36,0.004140439618611634
Other Organic,Textiles,Amador (Countywide),259,0.0343263452598817,94,0.0744969455238916,353,0.040109116048207924
Other Organic,Carpet,Amador (Countywide),64,0.00844994891725739,8,0.00626191036404208,72,0.008134969172217307
Other Organic,Remainder / Composite Organic,Amador (Countywide),550,0.0730366017712877,95,0.0747577651799157,645,0.0732843723651035
Inerts and Other,Concrete,Amador (Countywide),12,0.00158365077813281,5,0.00380054474914847,17,0.0019027844134818321
Inerts and Other,Asphalt Paving,Amador (Countywide),0,0.0,0,0.0,0,0.0
Inerts and Other,Asphalt Roofing,Amador (Countywide),160,0.0212249224325562,0,0.0,160,0.01816948236890744
Inerts and Other,Clean Dimensional Lumber,Amador (Countywide),13,0.001732296699546,7,0.00520836277968044,20,0.002232694832866961
Inerts and Other,Clean Engineered Wood,Amador (Countywide),58,0.00774102221513296,2,0.00131834677248041,60,0.006816444048798045
Inerts and Other,Clean Pallets & Crates,Amador (Countywide),58,0.0077238707626622,25,0.0199110136755632,83,0.00947827456959316
Inerts and Other,Other Wood Waste,Amador (Countywide),110,0.0145787346001396,27,0.0211054469970467,137,0.015518289437373529
Inerts and Other,Gypsum Board,Amador (Countywide),3,0.000463089216710317,5,0.00414580933333641,9,0.0009932362937279016
Inerts and Other,"Rock, Soil and Fines",Amador (Countywide),124,0.0164854043998049,4,0.00294628003745275,128,0.014536375698526786
Inerts and Other,Remainder / Composite Inerts and Other,Amador (Countywide),24,0.00322447306450147,3,0.00251265780565917,27,0.003122003485793034
Household Hazardous Waste (HHW),Paint,Amador (Countywide),3,0.000463089216710317,0,4.0077500773254e-06,3,0.0003970020067293973
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,Amador (Countywide),0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Used Oil,Amador (Countywide),0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Batteries,Amador (Countywide),27,0.00355606781226935,0,0.000361101619624407,27,0.0030961354974149476
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,Amador (Countywide),17,0.00219824449166811,1,0.000455389934663065,17,0.0019473513420932547
Special Waste,Ash,Amador (Countywide),7,0.000897592679302713,1,0.000931303337992967,8,0.0009024455072676439
Special Waste,Treated Medical Waste,Amador (Countywide),0,0.0,9,0.0073855680185596,9,0.0010631916553954786
Special Waste,Bulky Items,Amador (Countywide),102,0.0135782332060124,36,0.0281400658522521,138,0.015674486184502602
Special Waste,Tires,Amador (Countywide),31,0.00412778289462777,0,0.0,31,0.003533566672148468
Special Waste,Remainder / Composite Special Waste,Amador (Countywide),1,0.000142928770589604,0,0.00020231600461172,1,0.0001514778776441548
Mixed Residue,Mixed Residue,Amador (Countywide),591,0.0784255881375981,44,0.0344700708823858,634,0.07209795849057633
Paper,Uncoated Corrugated Cardboard,Butte (Countywide),1011,0.0257667648205132,593,0.0356791218393351,1605,0.028716199653376743
Paper,Paper Bags,Butte (Countywide),118,0.00301141300687519,88,0.00527466562364938,206,0.0036848467916761264
Paper,Newspaper,Butte (Countywide),511,0.0130255343532942,772,0.0464310841690457,1283,0.02296539951860743
Paper,White Ledger Paper,Butte (Countywide),56,0.00143532058989468,88,0.0052869012166633,144,0.002581363457459183
Paper,Other Office Paper,Butte (Countywide),97,0.00248144848137561,98,0.005887949186271,195,0.00349505723438104
Paper,Magazines and Catalogs,Butte (Countywide),297,0.00757131611169444,124,0.00747804221265661,422,0.007543562340689541
Paper,Phone Books and Directories,Butte (Countywide),12,0.000317426668919016,5,0.000306365386920027,18,0.00031413536995127334
Paper,Other Miscellaneous Paper - Compostable,Butte (Countywide),88,0.00223302761004769,49,0.00295972626349685,137,0.0024492577475829025
Paper,Other Miscellaneous Paper - Other,Butte (Countywide),2096,0.0533966861759858,785,0.0471909615637325,2881,0.05155016467763949
Paper,Remainder / Composite Paper - Compostable,Butte (Countywide),3135,0.0798562692043134,1126,0.0676951863054057,4260,0.07623772303620507
Paper,Remainder / Composite Paper - Other,Butte (Countywide),416,0.0105937700461842,182,0.0109194056132361,597,0.010690663336292537
Glass,Clear Glass Bottles and Containers,Butte (Countywide),551,0.0140468201576424,273,0.0164193762236836,824,0.014752777327144683
Glass,Green Glass Bottles and Containers,Butte (Countywide),87,0.00222198668243311,25,0.00148785037811019,112,0.002003543462124538
Glass,Brown Glass Bottles and Containers,Butte (Countywide),211,0.00536865105258683,113,0.00682128720880721,324,0.005800884846274642
Glass,Other Glass Colored Bottles and Containers,Butte (Countywide),10,0.000256701567038856,10,0.000619255891282891,20,0.0003645800817755813
Glass,Flat Glass,Butte (Countywide),9,0.000237379943713351,10,0.000579854656700671,19,0.00033928374378246917
Glass,Remainder / Composite Glass,Butte (Countywide),78,0.00199840789823798,66,0.00398097723909204,145,0.002588324006120186
Metal,Tin/Steel Cans,Butte (Countywide),470,0.0119628450703914,155,0.00929533537355549,624,0.011169124061159209
Metal,Major Appliances,Butte (Countywide),0,0.0,0,1.0932797618282e-05,0,3.253068271731902e-06
Metal,Used Oil Filters,Butte (Countywide),0,0.0,0,0.0,0,0.0
Metal,Other Ferrous,Butte (Countywide),327,0.00832982783881571,126,0.00756548567504157,453,0.008102396825406782
Metal,Aluminum Cans,Butte (Countywide),134,0.00342544779242173,38,0.00227739446282066,172,0.0030838430183119272
Metal,Other Non-Ferrous,Butte (Countywide),114,0.00290100373072944,128,0.00768714263469483,242,0.0043251256395220915
Metal,Remainder / Composite Metal,Butte (Countywide),212,0.00541005453114149,142,0.00852379656968097,354,0.006336552558964885
Electronics,Brown Goods,Butte (Countywide),0,0.0,75,0.00453436039488614,75,0.0013492048831614406
Electronics,Computer-related Electronics,Butte (Countywide),142,0.00362142425758042,34,0.00201706805339667,176,0.003144045964611842
Electronics,Other Small Consumer Electronics,Butte (Countywide),316,0.00805435669483207,44,0.00261664724282099,360,0.006436359114811592
Electronics,Video Display Devices,Butte (Countywide),0,0.0,109,0.00653254413252071,109,0.0019437670752868942
Plastic,PETE Plastic Containers,Butte (Countywide),377,0.00961388772039072,154,0.00925575177699064,531,0.009507323900669646
Plastic,HDPE Plastic Containers,Butte (Countywide),324,0.00826413431950899,78,0.00466298875785393,402,0.007192608734061527
Plastic,Miscellaneous Plastic Containers,Butte (Countywide),344,0.00877477722168305,106,0.00638361235962469,451,0.008063282980516936
