Material Category,Material Type,Business Group,Tons Disposed,Tons Generated,Percent of Total Generation
Paper,Remainder / Composite Paper - Compostable,Hotels & Lodging,609.6275033369782,623.6360080501912,0.07317906070687981
Other Organic,Food,Hotels & Lodging,2178.9186073373526,2363.476054015358,0.2773363875777467
Other Organic,Leaves and Grass,Hotels & Lodging,141.90886836968124,157.1266528939773,0.018437647477648193
Other Organic,Prunings and Trimmings,Hotels & Lodging,145.54198637130554,255.48859162027657,0.0299796915424273
Other Organic,Branches and Stumps,Hotels & Lodging,117.07064890616303,117.07064890616303,0.013737372461996166
Other Organic,Manures,Hotels & Lodging,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Hotels & Lodging,4.661052694615258,9.89971133152383,0.0011616577092384045
Inerts and Other,Clean Engineered Wood,Hotels & Lodging,6.626100317931503,6.626100317931503,0.0007775237336468232
Inerts and Other,Clean Pallets & Crates,Hotels & Lodging,149.56552998163576,281.8373095181977,0.0330715181876348
Paper,Uncoated Corrugated Cardboard,Hotels & Lodging,133.01326333267272,636.0669682412054,0.07463774169822791
Paper,Paper Bags,Hotels & Lodging,32.035064405235914,35.49938498904625,0.004165589567690962
Paper,Newspaper,Hotels & Lodging,176.46756589262608,216.5324805638378,0.025408480805548795
Paper,White Ledger Paper,Hotels & Lodging,63.4494904172576,77.69716017603484,0.009117185550351696
Paper,Other Office Paper,Hotels & Lodging,61.11260247532746,92.66790729275222,0.010873891702561938
Paper,Magazines and Catalogs,Hotels & Lodging,40.34820061676556,72.5827749096342,0.008517050367236705
Paper,Phone Books and Directories,Hotels & Lodging,5.1394447913701296,5.1394447913701296,0.000603075732530606
Paper,Other Miscellaneous Paper - Other,Hotels & Lodging,179.76615584386224,204.12266666033508,0.023952281174220873
Glass,Clear Glass Bottles and Containers,Hotels & Lodging,130.1868927405794,325.4570162234413,0.03818996728902539
Glass,Green Glass Bottles and Containers,Hotels & Lodging,164.42459553292335,195.58865419355493,0.0229508780988399
Glass,Brown Glass Bottles and Containers,Hotels & Lodging,74.72300823854657,112.11600087586581,0.01315598125893856
Glass,Other Glass Colored Bottles and Containers,Hotels & Lodging,5.795452180206609,5.795452180206609,0.0006800533347090273
Metal,Tin/Steel Cans,Hotels & Lodging,73.01191011099588,74.68296530191971,0.008763492134917152
Metal,Aluminum Cans,Hotels & Lodging,21.892765272226708,39.73230395293443,0.004662291217094031
Plastic,PETE Plastic Containers,Hotels & Lodging,68.34381989100812,106.56476985505094,0.012504585466158374
Plastic,HDPE Plastic Containers,Hotels & Lodging,46.32668539862609,59.354844391864304,0.0069648508183159106
Plastic,Miscellaneous Plastic Containers,Hotels & Lodging,25.847362612299154,29.325593171587666,0.0034411408822887573
Paper,Other Miscellaneous Paper - Compostable,Manufacturing - All Other,101.238399446951,324.99907967866716,0.005533720235885466
Paper,Remainder / Composite Paper - Compostable,Manufacturing - All Other,1352.275110749006,1354.6780815639147,0.023065940741963276
Other Organic,Food,Manufacturing - All Other,1221.9322846113944,1225.3275108476837,0.020863504133824394
Other Organic,Leaves and Grass,Manufacturing - All Other,144.62476299507486,163.77203756168305,0.0027885267835937428
Other Organic,Prunings and Trimmings,Manufacturing - All Other,115.38628951615453,115.38628951615453,0.0019646684718941233
Other Organic,Branches and Stumps,Manufacturing - All Other,265.199672150699,265.199672150699,0.004515522917115643
Other Organic,Manures,Manufacturing - All Other,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Manufacturing - All Other,853.9551682526778,1319.589774527362,0.022468496358788056
Inerts and Other,Clean Engineered Wood,Manufacturing - All Other,156.42584755194332,156.42584755194332,0.0026634440899635037
Inerts and Other,Clean Pallets & Crates,Manufacturing - All Other,982.400317007561,2234.4148661896597,0.038045113151157786
Paper,Uncoated Corrugated Cardboard,Manufacturing - All Other,771.8299858282701,3866.3985706610865,0.06583270337756067
Paper,Paper Bags,Manufacturing - All Other,44.9254913636837,73.44829029126333,0.0012505952037704577
Paper,Newspaper,Manufacturing - All Other,108.41601057595159,139.45281921517417,0.002374446378141361
Paper,White Ledger Paper,Manufacturing - All Other,475.5651286842292,1854.7469665294657,0.03158055349350268
Paper,Other Office Paper,Manufacturing - All Other,334.37670642502803,1629.9830398593394,0.027753525150710744
Paper,Magazines and Catalogs,Manufacturing - All Other,99.207122139548,563.65506301354,0.009597286956446916
Paper,Phone Books and Directories,Manufacturing - All Other,21.322586705583927,21.322586705583927,0.0003630571189640733
Paper,Other Miscellaneous Paper - Other,Manufacturing - All Other,495.5817054928656,8256.35988041008,0.14058004653475067
Glass,Clear Glass Bottles and Containers,Manufacturing - All Other,23.220366901454003,40.67227235574565,0.0006925218889757004
Glass,Green Glass Bottles and Containers,Manufacturing - All Other,5.130978370654234,8.404861116158306,0.00014310855921277564
Glass,Brown Glass Bottles and Containers,Manufacturing - All Other,13.095818304609079,19.94684486071405,0.00033963252805803776
Glass,Other Glass Colored Bottles and Containers,Manufacturing - All Other,0.0,0.0,0.0
Metal,Tin/Steel Cans,Manufacturing - All Other,49.53068239549505,49.81631586513001,0.0008482164178824504
Metal,Aluminum Cans,Manufacturing - All Other,24.464242195435503,34.954972328057195,0.000595174109132357
Plastic,PETE Plastic Containers,Manufacturing - All Other,53.73682549660189,90.01428633622406,0.0015326624257214713
Plastic,HDPE Plastic Containers,Manufacturing - All Other,52.93463788096369,61.26305972339956,0.001043118748640225
Plastic,Miscellaneous Plastic Containers,Manufacturing - All Other,32.69897937483486,51.46738740612028,0.0008763290144052036
Paper,Other Miscellaneous Paper - Compostable,Manufacturing -Electronic Equipment,45.8295308062689,79.51393032173348,0.006537103692948962
Paper,Remainder / Composite Paper - Compostable,Manufacturing -Electronic Equipment,668.4266766038224,690.37440742968,0.056757967692768724
Other Organic,Food,Manufacturing -Electronic Equipment,576.9075686461181,689.8855175123223,0.05671777443265351
Other Organic,Leaves and Grass,Manufacturing -Electronic Equipment,141.24204763995868,291.5378352099651,0.023968291486460385
Other Organic,Prunings and Trimmings,Manufacturing -Electronic Equipment,28.97817663893347,61.07556975465552,0.005021224972487517
Other Organic,Branches and Stumps,Manufacturing -Electronic Equipment,0.19905945968685346,9.17489423649529,0.0007542984575548766
Other Organic,Manures,Manufacturing -Electronic Equipment,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Manufacturing -Electronic Equipment,104.44912218160975,244.89412582696633,0.020133557577236214
Inerts and Other,Clean Engineered Wood,Manufacturing -Electronic Equipment,8.480805540381775,8.480805540381775,0.0006972351258815636
Inerts and Other,Clean Pallets & Crates,Manufacturing -Electronic Equipment,537.0931613437073,1222.8810202407203,0.10053710087159137
Paper,Uncoated Corrugated Cardboard,Manufacturing -Electronic Equipment,163.86737534581488,1433.1126238838042,0.11782093764068324
Paper,Paper Bags,Manufacturing -Electronic Equipment,14.058470580926402,41.39988035203854,0.0034036213483838286
Paper,Newspaper,Manufacturing -Electronic Equipment,79.1934441671986,93.51792397933451,0.007688418415849981
Paper,White Ledger Paper,Manufacturing -Electronic Equipment,123.88254666580228,161.95235714356076,0.013314639933923463
Paper,Other Office Paper,Manufacturing -Electronic Equipment,92.93424432949978,136.89014974357912,0.011254192816230274
Paper,Magazines and Catalogs,Manufacturing -Electronic Equipment,37.500021778859455,51.20571400376417,0.004209791425976106
Paper,Phone Books and Directories,Manufacturing -Electronic Equipment,0.791212178694513,0.791212178694513,6.504817500935898e-05
Paper,Other Miscellaneous Paper - Other,Manufacturing -Electronic Equipment,149.91787281049875,182.42046077991088,0.014997390557964422
Glass,Clear Glass Bottles and Containers,Manufacturing -Electronic Equipment,11.424691129124367,15.622376044654171,0.0012843673016906876
Glass,Green Glass Bottles and Containers,Manufacturing -Electronic Equipment,0.296704567010442,1.955951354383249,0.00016080524217870794
Glass,Brown Glass Bottles and Containers,Manufacturing -Electronic Equipment,0.22252842525783162,1.950194756384025,0.0001603319731818506
Glass,Other Glass Colored Bottles and Containers,Manufacturing -Electronic Equipment,0.42033146993145915,0.42033146993145915,3.4556842973721886e-05
Metal,Tin/Steel Cans,Manufacturing -Electronic Equipment,7.703979720557753,12.737491664869964,0.0010471913973364357
Metal,Aluminum Cans,Manufacturing -Electronic Equipment,6.521848733601545,9.015436527527132,0.0007411889109138398
Plastic,PETE Plastic Containers,Manufacturing -Electronic Equipment,12.134164179204314,19.64779470267554,0.0016153103083882776
Plastic,HDPE Plastic Containers,Manufacturing -Electronic Equipment,17.402084621958753,20.982794500904152,0.0017250650655204506
Plastic,Miscellaneous Plastic Containers,Manufacturing -Electronic Equipment,25.56050218297526,177.9147365523738,0.014626960038833216
Paper,Other Miscellaneous Paper - Compostable,Manufacturing - Food & Nondurable Wholesale,218.18667112773028,234.05087373269558,0.005314641421507119
Paper,Remainder / Composite Paper - Compostable,Manufacturing - Food & Nondurable Wholesale,2354.5892534267596,2357.3599855871157,0.053529058981908635
Other Organic,Food,Manufacturing - Food & Nondurable Wholesale,11485.490929882808,20108.486437677457,0.45660754536446624
Other Organic,Leaves and Grass,Manufacturing - Food & Nondurable Wholesale,1155.2986278750243,1539.5511800092295,0.03495890590501228
Other Organic,Prunings and Trimmings,Manufacturing - Food & Nondurable Wholesale,43.63991016591864,43.73658881884335,0.0009931357352569406
Other Organic,Branches and Stumps,Manufacturing - Food & Nondurable Wholesale,97.86812078549272,97.86812078549272,0.002222311586692367
Other Organic,Manures,Manufacturing - Food & Nondurable Wholesale,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Manufacturing - Food & Nondurable Wholesale,173.5358720605285,174.6918421874132,0.003966763659891073
Inerts and Other,Clean Engineered Wood,Manufacturing - Food & Nondurable Wholesale,329.95359882153224,329.95359882153224,0.007492324363099748
Inerts and Other,Clean Pallets & Crates,Manufacturing - Food & Nondurable Wholesale,1209.229931728598,3998.441320718768,0.09079343104194981
Paper,Uncoated Corrugated Cardboard,Manufacturing - Food & Nondurable Wholesale,1023.9903089315053,2030.3196407262565,0.04610288647683803
Paper,Paper Bags,Manufacturing - Food & Nondurable Wholesale,106.79302405885828,110.35398046037864,0.0025058305753335283
Paper,Newspaper,Manufacturing - Food & Nondurable Wholesale,235.67592881626035,252.56009910337505,0.0057349342162581005
Paper,White Ledger Paper,Manufacturing - Food & Nondurable Wholesale,373.9887533788406,453.52943091331537,0.01029838624809947
Paper,Other Office Paper,Manufacturing - Food & Nondurable Wholesale,446.51158325411967,477.5439735353762,0.010843689416176997
Paper,Magazines and Catalogs,Manufacturing - Food & Nondurable Wholesale,112.68952467009649,171.29157712127454,0.003889553140330088
Paper,Phone Books and Directories,Manufacturing - Food & Nondurable Wholesale,0.0,0.0,0.0
Paper,Other Miscellaneous Paper - Other,Manufacturing - Food & Nondurable Wholesale,998.9682796899547,1110.8322686090662,0.02522389723628601
Glass,Clear Glass Bottles and Containers,Manufacturing - Food & Nondurable Wholesale,243.86872942838173,285.3797823938149,0.006480177527997767
Glass,Green Glass Bottles and Containers,Manufacturing - Food & Nondurable Wholesale,65.24455801933705,126.17282851718201,0.002865032418003131
Glass,Brown Glass Bottles and Containers,Manufacturing - Food & Nondurable Wholesale,51.805899086931085,67.26755112469567,0.0015274581454412844
Glass,Other Glass Colored Bottles and Containers,Manufacturing - Food & Nondurable Wholesale,0.0,12.54405521698055,0.0002848404468080577
Metal,Tin/Steel Cans,Manufacturing - Food & Nondurable Wholesale,140.54220420871948,143.94414905619007,0.003268569455678793
Metal,Aluminum Cans,Manufacturing - Food & Nondurable Wholesale,33.47532018652142,35.491297523569536,0.0008059082066799654
Plastic,PETE Plastic Containers,Manufacturing - Food & Nondurable Wholesale,143.34166397800686,218.9286135084898,0.004971257142300532
Plastic,HDPE Plastic Containers,Manufacturing - Food & Nondurable Wholesale,97.30640828329028,99.45124311966926,0.002258259871773912
Plastic,Miscellaneous Plastic Containers,Manufacturing - Food & Nondurable Wholesale,177.8469552275762,187.96673017301654,0.004268199276981441
Paper,Other Miscellaneous Paper - Compostable,Medical & Health,47.328831132610695,88.90747396630162,0.0020319955035138304
Paper,Remainder / Composite Paper - Compostable,Medical & Health,4362.934444675066,4372.054178228825,0.09992404502063691
Other Organic,Food,Medical & Health,8618.70112997541,8878.887057187707,0.20292848026759738
Other Organic,Leaves and Grass,Medical & Health,1040.7198608686324,1040.7231603644,0.02378590559287187
Other Organic,Prunings and Trimmings,Medical & Health,597.6993966730582,617.7739317210006,0.014119328729561386
Other Organic,Branches and Stumps,Medical & Health,0.0,0.0,0.0
Other Organic,Manures,Medical & Health,427.52008419164923,427.52008419164923,0.009771044547599608
Inerts and Other,Clean Dimensional Lumber,Medical & Health,0.09452396090821837,0.09452396090821837,2.1603612719063133e-06
Inerts and Other,Clean Engineered Wood,Medical & Health,31.707781688276704,31.707781688276704,0.0007246867663948839
Inerts and Other,Clean Pallets & Crates,Medical & Health,620.0938180957743,620.0938180957743,0.014172350128909541
Paper,Uncoated Corrugated Cardboard,Medical & Health,741.8264800235428,2624.9436645189867,0.05999353581118931
Paper,Paper Bags,Medical & Health,71.5429627216944,91.34602950777766,0.0020877291069364874
Paper,Newspaper,Medical & Health,989.9467561133396,1184.643045789397,0.02707521915677612
Paper,White Ledger Paper,Medical & Health,567.2553884779353,726.8126195769815,0.01661142656507498
Paper,Other Office Paper,Medical & Health,764.579093709051,986.3088665392195,0.022542257613158083
Paper,Magazines and Catalogs,Medical & Health,223.70314115157865,393.3501380210773,0.008990084591407073
Paper,Phone Books and Directories,Medical & Health,76.10823526205726,76.69112886669653,0.001752788849625772
Paper,Other Miscellaneous Paper - Other,Medical & Health,1016.2563375547633,1109.318244812208,0.025353657964443332
Glass,Clear Glass Bottles and Containers,Medical & Health,99.77690080083221,107.29090354284118,0.002452151926503085
Glass,Green Glass Bottles and Containers,Medical & Health,17.391598180808426,17.391598180808426,0.0003974879470281288
Glass,Brown Glass Bottles and Containers,Medical & Health,17.00708630047524,17.00708630047524,0.00038869986232581427
Glass,Other Glass Colored Bottles and Containers,Medical & Health,0.7726724392087027,3.3520921736481863,7.66126391893525e-05
Metal,Tin/Steel Cans,Medical & Health,297.22845023016987,334.77444797051675,0.007651327190166849
Metal,Aluminum Cans,Medical & Health,69.61664326837486,107.88408831314301,0.0024657092657484115
Plastic,PETE Plastic Containers,Medical & Health,126.15431108247493,143.367365810654,0.00327668563374425
Plastic,HDPE Plastic Containers,Medical & Health,226.31988128302385,286.8474214737676,0.006555946813314673
Plastic,Miscellaneous Plastic Containers,Medical & Health,150.89904394567012,167.28751108143473,0.0038233846396348785
Paper,Other Miscellaneous Paper - Compostable,Multifamily,350.96247595316856,669.5462950610315,0.0047758955742515565
Paper,Remainder / Composite Paper - Compostable,Multifamily,8027.252549965927,8116.59075146736,0.057895906726525316
Other Organic,Food,Multifamily,29373.690163280815,31332.181061305448,0.22349347007990983
Other Organic,Leaves and Grass,Multifamily,3542.656586493914,3610.36828163565,0.025752874782333252
Other Organic,Prunings and Trimmings,Multifamily,921.3470995130435,930.3202288023775,0.006636004554351189
Other Organic,Branches and Stumps,Multifamily,0.0,0.0,0.0
Other Organic,Manures,Multifamily,0.0,0.0,0.0
Inerts and Other,Clean Dimensional Lumber,Multifamily,617.6043775951445,833.495157388361,0.005945348159933174
Inerts and Other,Clean Engineered Wood,Multifamily,156.3287298359596,156.3287298359596,0.0011150979319269783
Inerts and Other,Clean Pallets & Crates,Multifamily,2361.0354594268706,2361.0354594268706,0.01684134298779135
Paper,Uncoated Corrugated Cardboard,Multifamily,4230.807792938701,8277.573330199308,0.05904420071451225
Paper,Paper Bags,Multifamily,625.4665270679078,821.5655362218815,0.005860253782812778
Paper,Newspaper,Multifamily,5505.768713186806,9537.41030081575,0.06803065894246361
Paper,White Ledger Paper,Multifamily,626.9174159801302,1056.6617233720567,0.007537202558448361
Paper,Other Office Paper,Multifamily,698.189305607827,1280.5053765354955,0.009133886641914344
Paper,Magazines and Catalogs,Multifamily,886.7415350551618,1322.8675362597937,0.009436057309776185
Paper,Phone Books and Directories,Multifamily,36.32861459720516,113.17038434476072,0.0008072480450051968
Paper,Other Miscellaneous Paper - Other,Multifamily,5595.874495991543,6509.891272491127,0.04643526690609973
Glass,Clear Glass Bottles and Containers,Multifamily,1946.9992898134499,2892.8538070249924,0.02063482061784548
Glass,Green Glass Bottles and Containers,Multifamily,176.42836061888602,1053.1874075368655,0.007512420150206778
Glass,Brown Glass Bottles and Containers,Multifamily,808.8639403977112,1358.3651075024509,0.00968926264396302
Glass,Other Glass Colored Bottles and Containers,Multifamily,73.4309735105207,75.48620401386889,0.0005384455568289335
Metal,Tin/Steel Cans,Multifamily,1102.2350133365899,1420.220349498261,0.010130478103851601
Metal,Aluminum Cans,Multifamily,270.0520008391735,378.8068424575666,0.0027020415701417464
Plastic,PETE Plastic Containers,Multifamily,1097.5412153901818,2181.723064544881,0.015562301822986934
Plastic,HDPE Plastic Containers,Multifamily,552.9342696255554,979.4302473430779,0.006986307919376251
Plastic,Miscellaneous Plastic Containers,Multifamily,756.9647324790562,1104.6736079545753,0.007879672898110573
Paper,Other Miscellaneous Paper - Compostable,Not Elsewhere Classified,28.388395676166805,41.76760564340549,0.0013469843563394465
Paper,Remainder / Composite Paper - Compostable,Not Elsewhere Classified,1180.8033275236896,1183.1754638929788,0.038156815937093
Other Organic,Food,Not Elsewhere Classified,2102.996003264848,7268.477994146271,0.23440477378808836
Other Organic,Leaves and Grass,Not Elsewhere Classified,748.4780236158293,3453.739267273741,0.11138136103876706
Other Organic,Prunings and Trimmings,Not Elsewhere Classified,658.3835412042187,5472.0635048806125,0.17647130651679885
Other Organic,Branches and Stumps,Not Elsewhere Classified,0.0,0.0,0.0
Other Organic,Manures,Not Elsewhere Classified,51.64282240246433,51.64282240246433,0.00166545514931423
Inerts and Other,Clean Dimensional Lumber,Not Elsewhere Classified,87.06788989690365,87.06788989690365,0.0028078958279747898
Inerts and Other,Clean Engineered Wood,Not Elsewhere Classified,148.10029674785983,836.6376388007347,0.026981144694064825
Inerts and Other,Clean Pallets & Crates,Not Elsewhere Classified,552.6166225630774,677.2193851936984,0.02183998588412629
Paper,Uncoated Corrugated Cardboard,Not Elsewhere Classified,587.7801582701829,2699.328701435153,0.08705199825179083
Paper,Paper Bags,Not Elsewhere Classified,40.477664174276775,45.6186561808178,0.0014711788067863804
Paper,Newspaper,Not Elsewhere Classified,155.04492172958322,164.00533138219416,0.005289089770051527
Paper,White Ledger Paper,Not Elsewhere Classified,246.37221887456596,271.95603683326533,0.008770445937312653
Paper,Other Office Paper,Not Elsewhere Classified,242.55457325241335,298.669063736715,0.009631927671664894
Paper,Magazines and Catalogs,Not Elsewhere Classified,256.1444099764902,270.9764918608224,0.00873885610270551
Paper,Phone Books and Directories,Not Elsewhere Classified,7.917988424522272,9.80861348287883,0.0003163228706863629
Paper,Other Miscellaneous Paper - Other,Not Elsewhere Classified,435.24541225752057,469.4086860122714,0.015138194949133115
Glass,Clear Glass Bottles and Containers,Not Elsewhere Classified,65.75075113449645,108.60961979730536,0.0035026058248096713
Glass,Green Glass Bottles and Containers,Not Elsewhere Classified,11.010842038988923,60.841675206391656,0.0019621135435958204
